name,number,slug,read_time
Evolution of Periodic Table,1,evolution_of_periodic_table,2
Modern Periodic Table,2,modern_periodic_table,2
How to learn?,3,how_to_learn?,2
Mnemonics,4,mnemonics,2
Classification of Periodic Table,5,classification_of_periodic_table,2
Electronic Configuration,6,electronic_configuration,2
Properties and Trends,7,properties_and_trends,2
Exceptions,8,exceptions,2
Higher Studies Concepts,9,higher_studies_concepts,2
